"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1316","test_get_loans[3a1a417d-51c2-bab1-6b7f-5b97cd6a53f8]","API_Automation.tests.LoanTest","Tue Sep 30 20:29:51 IST 2025","passed","Tue Sep 30 20:29:52 IST 2025","","test_Loan","",""
"","723","test_postLoan[3a1a417d-51c2-bab1-6b7f-5b97cd6a53f8]","API_Automation.tests.LoanTest","Tue Sep 30 20:29:52 IST 2025","passed","Tue Sep 30 20:29:53 IST 2025","","test_Loan","",""
